t,sx1,sy1,sx2,sy2,vx1,vy1,vx2,vy2,distance,compression, compression_x, compression_y, F1x, F1y, F2x, F2y
0,0.012,0,5,0,12,0,0,0,4.988,0,0,0,0,0,0,0
0.249,2.9999,0,5,0,12,0,0,0,2.0001,0,0,0,0,0,0,0
0.249,3.0003,0,5,0,12,0,0,0,1.9997,-0.0001,0.0001,0,-0.0088,0,0.0088,0
0.2491,3.0015,0,5,0,12,0,0,0,1.9985,-0.0007,0.0007,0,-0.13,0,0.13,0
0.2492,3.0027,0,5,0,12,0,0,0,1.9973,-0.0013,0.0013,0,-0.3228,0,0.3228,0
0.2493,3.0039,0,5,0,12,0,0,0,1.9961,-0.0019,0.0019,0,-0.5662,0,0.5662,0
0.2494,3.0051,0,5,0,11.9999,0,0,0,1.9949,-0.0025,0.0025,0,-0.8514,0,0.8514,0
0.2495,3.0063,0,5,0,11.9999,0,0,0,1.9937,-0.0031,0.0031,0,-1.1729,0,1.1729,0
0.2496,3.0075,0,5,0,11.9998,0,0.0001,0,1.9925,-0.0037,0.0037,0,-1.5269,0,1.5269,0
0.2497,3.0087,0,5,0,11.9997,0,0.0001,0,1.9913,-0.0043,0.0043,0,-1.9109,0,1.9109,0
0.2498,3.0099,0,5,0,11.9996,0,0.0001,0,1.9901,-0.0049,0.0049,0,-2.3225,0,2.3225,0
0.2499,3.0111,0,5,0,11.9995,0,0.0002,0,1.9889,-0.0055,0.0055,0,-2.76,0,2.76,0
0.25,3.0123,0,5,0,11.9993,0,0.0002,0,1.9877,-0.0061,0.0061,0,-3.222,0,3.222,0
0.2501,3.0135,0,5,0,11.9992,0,0.0003,0,1.9865,-0.0067,0.0067,0,-3.7072,0,3.7072,0
0.2502,3.0147,0,5,0,11.999,0,0.0003,0,1.9853,-0.0073,0.0073,0,-4.2146,0,4.2146,0
0.2503,3.0159,0,5,0,11.9987,0,0.0004,0,1.9841,-0.0079,0.0079,0,-4.7433,0,4.7433,0
0.2504,3.0171,0,5,0,11.9985,0,0.0005,0,1.9829,-0.0085,0.0085,0,-5.2923,0,5.2923,0
0.2505,3.0183,0,5,0,11.9982,0,0.0006,0,1.9817,-0.0091,0.0091,0,-5.861,0,5.861,0
0.2506,3.0195,0,5,0,11.9979,0,0.0007,0,1.9805,-0.0097,0.0097,0,-6.4487,0,6.4487,0
0.2507,3.0207,0,5,0,11.9976,0,0.0008,0,1.9793,-0.0103,0.0103,0,-7.0548,0,7.0548,0
0.2508,3.0219,0,5,0,11.9972,0,0.0009,0,1.9781,-0.0109,0.0109,0,-7.6788,0,7.6788,0
0.2509,3.0231,0,5,0,11.9968,0,0.0011,0,1.977,-0.0115,0.0115,0,-8.3201,0,8.3201,0
0.251,3.0242,0,5,0,11.9964,0,0.0012,0,1.9758,-0.0121,0.0121,0,-8.9783,0,8.9783,0
0.2511,3.0254,0,5,0,11.9959,0,0.0014,0,1.9746,-0.0127,0.0127,0,-9.653,0,9.653,0
0.2512,3.0266,0,5,0,11.9954,0,0.0015,0,1.9734,-0.0133,0.0133,0,-10.3437,0,10.3437,0
0.2513,3.0278,0,5,0,11.9949,0,0.0017,0,1.9722,-0.0139,0.0139,0,-11.0501,0,11.0501,0
0.2514,3.029,0,5,0,11.9943,0,0.0019,0,1.971,-0.0145,0.0145,0,-11.7719,0,11.7719,0
0.2515,3.0302,0,5,0,11.9937,0,0.0021,0,1.9698,-0.0151,0.0151,0,-12.5087,0,12.5087,0
0.2516,3.0314,0,5,0,11.993,0,0.0023,0,1.9686,-0.0157,0.0157,0,-13.2602,0,13.2602,0
0.2517,3.0326,0,5,0,11.9924,0,0.0025,0,1.9674,-0.0163,0.0163,0,-14.0261,0,14.0261,0
0.2518,3.0338,0,5,0,11.9916,0,0.0028,0,1.9662,-0.0169,0.0169,0,-14.8062,0,14.8062,0
0.2519,3.035,0,5,0,11.9909,0,0.003,0,1.965,-0.0175,0.0175,0,-15.6001,0,15.6001,0
0.252,3.0362,0,5,0,11.9901,0,0.0033,0,1.9638,-0.0181,0.0181,0,-16.4077,0,16.4077,0
0.2521,3.0374,0,5,0,11.9892,0,0.0036,0,1.9626,-0.0187,0.0187,0,-17.2286,0,17.2286,0
0.2522,3.0386,0,5,0,11.9884,0,0.0039,0,1.9614,-0.0193,0.0193,0,-18.0628,0,18.0628,0
0.2523,3.0398,0,5,0,11.9874,0,0.0042,0,1.9602,-0.0199,0.0199,0,-18.9099,0,18.9099,0
0.2524,3.041,0,5,0,11.9865,0,0.0045,0,1.959,-0.0205,0.0205,0,-19.7697,0,19.7697,0
0.2525,3.0422,0,5,0,11.9855,0,0.0048,0,1.9578,-0.0211,0.0211,0,-20.6421,0,20.6421,0
0.2526,3.0434,0,5,0,11.9844,0,0.0052,0,1.9566,-0.0217,0.0217,0,-21.5269,0,21.5269,0
0.2527,3.0446,0,5,0,11.9833,0,0.0056,0,1.9554,-0.0223,0.0223,0,-22.4239,0,22.4239,0
0.2528,3.0458,0,5,0,11.9822,0,0.0059,0,1.9542,-0.0229,0.0229,0,-23.3328,0,23.3328,0
0.2529,3.047,0,5,0,11.981,0,0.0063,0,1.953,-0.0235,0.0235,0,-24.2537,0,24.2537,0
0.253,3.0482,0,5,0,11.9797,0,0.0068,0,1.9518,-0.0241,0.0241,0,-25.1861,0,25.1861,0
0.2531,3.0494,0,5,0,11.9785,0,0.0072,0,1.9506,-0.0247,0.0247,0,-26.1301,0,26.1301,0
0.2532,3.0506,0,5,0,11.9771,0,0.0076,0,1.9494,-0.0253,0.0253,0,-27.0855,0,27.0855,0
0.2533,3.0518,0,5,0,11.9757,0,0.0081,0,1.9482,-0.0259,0.0259,0,-28.0521,0,28.0521,0
0.2534,3.053,0,5,0,11.9743,0,0.0086,0,1.947,-0.0265,0.0265,0,-29.0298,0,29.0298,0
0.2535,3.0542,0,5,0,11.9728,0,0.0091,0,1.9458,-0.0271,0.0271,0,-30.0184,0,30.0184,0
0.2536,3.0554,0,5,0,11.9713,0,0.0096,0,1.9446,-0.0277,0.0277,0,-31.0178,0,31.0178,0
0.2537,3.0566,0,5,0,11.9697,0,0.0101,0,1.9434,-0.0283,0.0283,0,-32.0279,0,32.0279,0
0.2538,3.0578,0,5,0,11.9681,0,0.0106,0,1.9422,-0.0289,0.0289,0,-33.0485,0,33.0485,0
0.2539,3.059,0,5,0,11.9664,0,0.0112,0,1.941,-0.0295,0.0295,0,-34.0796,0,34.0796,0
0.254,3.0602,0,5,0,11.9647,0,0.0118,0,1.9398,-0.0301,0.0301,0,-35.121,0,35.121,0
0.2541,3.0614,0,5,0,11.9629,0,0.0124,0,1.9386,-0.0307,0.0307,0,-36.1725,0,36.1725,0
0.2542,3.0626,0,5,0,11.9611,0,0.013,0,1.9374,-0.0313,0.0313,0,-37.2342,0,37.2342,0
0.2543,3.0638,0,5,0,11.9592,0,0.0136,0,1.9362,-0.0319,0.0319,0,-38.3058,0,38.3058,0
0.2544,3.065,0,5,0,11.9573,0,0.0142,0,1.935,-0.0325,0.0325,0,-39.3872,0,39.3872,0
0.2545,3.0662,0,5,0,11.9553,0,0.0149,0,1.9338,-0.0331,0.0331,0,-40.4785,0,40.4785,0
0.2546,3.0674,0,5,0,11.9532,0,0.0156,0,1.9326,-0.0337,0.0337,0,-41.5793,0,41.5793,0
0.2547,3.0686,0,5,0,11.9511,0,0.0163,0,1.9315,-0.0343,0.0343,0,-42.6897,0,42.6897,0
0.2548,3.0698,0,5,0,11.9489,0,0.017,0,1.9303,-0.0349,0.0349,0,-43.8095,0,43.8095,0
0.2549,3.071,0,5,0,11.9467,0,0.0178,0,1.9291,-0.0355,0.0355,0,-44.9387,0,44.9387,0
0.255,3.0722,0,5,0,11.9444,0,0.0185,0,1.9279,-0.0361,0.0361,0,-46.0772,0,46.0772,0
0.2551,3.0734,0,5,0,11.9421,0,0.0193,0,1.9267,-0.0367,0.0367,0,-47.2248,0,47.2248,0
0.2552,3.0745,0,5,0,11.9397,0,0.0201,0,1.9255,-0.0372,0.0372,0,-48.3814,0,48.3814,0
0.2553,3.0757,0,5,0,11.9373,0,0.0209,0,1.9243,-0.0378,0.0378,0,-49.5471,0,49.5471,0
0.2554,3.0769,0,5,0,11.9348,0,0.0217,0,1.9231,-0.0384,0.0384,0,-50.7216,0,50.7216,0
0.2555,3.0781,0,5,0,11.9322,0,0.0226,0,1.9219,-0.039,0.039,0,-51.9049,0,51.9049,0
0.2556,3.0793,0,5,0,11.9296,0,0.0235,0,1.9207,-0.0396,0.0396,0,-53.0969,0,53.0969,0
0.2557,3.0805,0,5,0,11.9269,0,0.0244,0,1.9195,-0.0402,0.0402,0,-54.2976,0,54.2976,0
0.2558,3.0817,0,5,0,11.9241,0,0.0253,0,1.9183,-0.0408,0.0408,0,-55.5068,0,55.5068,0
