t (s),sx1 (m),sy1 (m),sx2 (m),sy2 (m),vx1 (ms^-1),vy1 (ms^-1),v1 (ms^-1),vAngle1 (deg),vx2 (ms^-1),vy2 (ms^-1),v2 (ms^-1),vAngle2 (deg),distance (m)
0,0.012,0,5,0,12,0,12,0,0,0,0,0,4.988
0.138,1.6682,0,5,0,12,0,12,0,0,0,0,0,3.3318
0.1995,2.4064,0,5,0,12,0,12,0,0,0,0,0,2.5936
0.2395,2.8864,0,5,0,12,0,12,0,0,0,0,0,2.1136
0.2498,3.01,0,5,0,11.9997,0,11.9997,0,0.0001,0,0.0001,0,1.99
0.2502,3.0148,0,5,0,11.9991,0,11.9991,0,0.0003,0,0.0003,0,1.9852
0.2506,3.0196,0,5,0,11.998,0,11.998,0,0.0007,0,0.0007,0,1.9804
0.251,3.0244,0,5,0,11.9964,0,11.9964,0,0.0012,0,0.0012,0,1.9756
0.2514,3.0292,0,5,0,11.9944,0,11.9944,0,0.0019,0,0.0019,0,1.9708
0.2518,3.034,0,5,0,11.9917,0,11.9917,0,0.0028,0,0.0028,0,1.966
0.2522,3.0388,0,5,0,11.9884,0,11.9884,0,0.0039,0,0.0039,0,1.9612
0.2526,3.0436,0,5,0,11.9844,0,11.9844,0,0.0052,0,0.0052,0,1.9564
0.253,3.0484,0,5,0,11.9797,0,11.9797,0,0.0068,0,0.0068,0,1.9516
0.2534,3.0532,0,5,0,11.9743,0,11.9743,0,0.0086,0,0.0086,0,1.9468
0.2538,3.058,0,5,0,11.9681,0,11.9681,0,0.0106,0,0.0106,0,1.942
0.2542,3.0628,0,5,0,11.961,0,11.961,0,0.013,0,0.013,0,1.9372
0.2546,3.0676,0,5,0,11.9531,0,11.9531,0,0.0156,0,0.0156,0,1.9325
0.255,3.0723,0,5,0,11.9443,0,11.9443,0,0.0186,0,0.0186,0,1.9277
0.2554,3.0771,0,5,0,11.9346,0,11.9346,0,0.0218,0,0.0218,0,1.9229
0.2558,3.0819,0,5,0,11.924,0,11.924,0,0.0253,0,0.0253,0,1.9182
0.2562,3.0867,0,5.0001,0,11.9123,0,11.9123,0,0.0292,0,0.0292,0,1.9134
0.2566,3.0914,0,5.0001,0,11.8997,0,11.8997,0,0.0334,0,0.0334,0,1.9087
0.257,3.0962,0,5.0001,0,11.8861,0,11.8861,0,0.038,0,0.038,0,1.9039
0.2574,3.1009,0,5.0001,0,11.8714,0,11.8714,0,0.0429,0,0.0429,0,1.8992
0.2578,3.1057,0,5.0001,0,11.8556,0,11.8556,0,0.0481,0,0.0481,0,1.8945
0.2582,3.1104,0,5.0001,0,11.8388,0,11.8388,0,0.0537,0,0.0537,0,1.8897
0.2586,3.1151,0,5.0002,0,11.8208,0,11.8208,0,0.0597,0,0.0597,0,1.885
0.259,3.1199,0,5.0002,0,11.8017,0,11.8017,0,0.0661,0,0.0661,0,1.8803
0.2594,3.1246,0,5.0002,0,11.7814,0,11.7814,0,0.0729,0,0.0729,0,1.8756
0.2598,3.1293,0,5.0002,0,11.76,0,11.76,0,0.08,0,0.08,0,1.871
0.2602,3.134,0,5.0003,0,11.7373,0,11.7373,0,0.0876,0,0.0876,0,1.8663
0.2606,3.1387,0,5.0003,0,11.7135,0,11.7135,0,0.0955,0,0.0955,0,1.8616
0.261,3.1434,0,5.0004,0,11.6884,0,11.6884,0,0.1039,0,0.1039,0,1.857
0.2614,3.148,0,5.0004,0,11.662,0,11.662,0,0.1127,0,0.1127,0,1.8524
0.2618,3.1527,0,5.0004,0,11.6344,0,11.6344,0,0.1219,0,0.1219,0,1.8478
0.2622,3.1573,0,5.0005,0,11.6055,0,11.6055,0,0.1315,0,0.1315,0,1.8432
0.2626,3.162,0,5.0006,0,11.5753,0,11.5753,0,0.1416,0,0.1416,0,1.8386
0.263,3.1666,0,5.0006,0,11.5438,0,11.5438,0,0.1521,0,0.1521,0,1.834
0.2634,3.1712,0,5.0007,0,11.511,0,11.511,0,0.163,0,0.163,0,1.8295
0.2638,3.1758,0,5.0007,0,11.4768,0,11.4768,0,0.1744,0,0.1744,0,1.8249
0.2642,3.1804,0,5.0008,0,11.4413,0,11.4413,0,0.1862,0,0.1862,0,1.8204
0.2646,3.185,0,5.0009,0,11.4044,0,11.4044,0,0.1985,0,0.1985,0,1.8159
0.265,3.1895,0,5.001,0,11.3662,0,11.3662,0,0.2113,0,0.2113,0,1.8115
0.2654,3.194,0,5.0011,0,11.3265,0,11.3265,0,0.2245,0,0.2245,0,1.807
0.2658,3.1986,0,5.0012,0,11.2855,0,11.2855,0,0.2382,0,0.2382,0,1.8026
0.2662,3.2031,0,5.0013,0,11.2431,0,11.2431,0,0.2523,0,0.2523,0,1.7982
0.2666,3.2076,0,5.0014,0,11.1993,0,11.1993,0,0.2669,0,0.2669,0,1.7938
0.267,3.212,0,5.0015,0,11.154,0,11.154,0,0.282,0,0.282,0,1.7894
0.2674,3.2165,0,5.0016,0,11.1073,0,11.1073,0,0.2976,0,0.2976,0,1.7851
0.2678,3.2209,0,5.0017,0,11.0592,0,11.0592,0,0.3136,0,0.3136,0,1.7808
0.2682,3.2253,0,5.0018,0,11.0097,0,11.0097,0,0.3301,0,0.3301,0,1.7765
0.2686,3.2297,0,5.002,0,10.9587,0,10.9587,0,0.3471,0,0.3471,0,1.7722
0.269,3.2341,0,5.0021,0,10.9063,0,10.9063,0,0.3646,0,0.3646,0,1.768
0.2694,3.2384,0,5.0023,0,10.8524,0,10.8524,0,0.3825,0,0.3825,0,1.7638
0.2698,3.2428,0,5.0024,0,10.797,0,10.797,0,0.401,0,0.401,0,1.7596
0.2702,3.2471,0,5.0026,0,10.7403,0,10.7403,0,0.4199,0,0.4199,0,1.7555
0.2706,3.2514,0,5.0028,0,10.682,0,10.682,0,0.4393,0,0.4393,0,1.7514
0.271,3.2556,0,5.0029,0,10.6223,0,10.6223,0,0.4592,0,0.4592,0,1.7473
0.2714,3.2599,0,5.0031,0,10.5612,0,10.5612,0,0.4796,0,0.4796,0,1.7433
0.2718,3.2641,0,5.0033,0,10.4985,0,10.4985,0,0.5005,0,0.5005,0,1.7392
0.2722,3.2683,0,5.0035,0,10.4345,0,10.4345,0,0.5218,0,0.5218,0,1.7353
0.2726,3.2724,0,5.0037,0,10.3689,0,10.3689,0,0.5437,0,0.5437,0,1.7313
0.273,3.2766,0,5.004,0,10.3019,0,10.3019,0,0.566,0,0.566,0,1.7274
0.2734,3.2807,0,5.0042,0,10.2335,0,10.2335,0,0.5888,0,0.5888,0,1.7235
0.2738,3.2847,0,5.0044,0,10.1636,0,10.1636,0,0.6121,0,0.6121,0,1.7197
0.2742,3.2888,0,5.0047,0,10.0923,0,10.0923,0,0.6359,0,0.6359,0,1.7159
0.2746,3.2928,0,5.0049,0,10.0195,0,10.0195,0,0.6602,0,0.6602,0,1.7121
0.275,3.2968,0,5.0052,0,9.9453,0,9.9453,0,0.6849,0,0.6849,0,1.7084
0.2754,3.3008,0,5.0055,0,9.8697,0,9.8697,0,0.7101,0,0.7101,0,1.7047
0.2758,3.3047,0,5.0058,0,9.7926,0,9.7926,0,0.7358,0,0.7358,0,1.7011
0.2762,3.3086,0,5.0061,0,9.7142,0,9.7142,0,0.7619,0,0.7619,0,1.6975
0.2766,3.3125,0,5.0064,0,9.6343,0,9.6343,0,0.7886,0,0.7886,0,1.6939
0.277,3.3163,0,5.0067,0,9.553,0,9.553,0,0.8157,0,0.8157,0,1.6904
0.2774,3.3201,0,5.007,0,9.4704,0,9.4704,0,0.8432,0,0.8432,0,1.6869
0.2778,3.3239,0,5.0074,0,9.3864,0,9.3864,0,0.8712,0,0.8712,0,1.6835
0.2782,3.3276,0,5.0077,0,9.301,0,9.301,0,0.8997,0,0.8997,0,1.6801
0.2786,3.3313,0,5.0081,0,9.2142,0,9.2142,0,0.9286,0,0.9286,0,1.6768
0.279,3.335,0,5.0085,0,9.1261,0,9.1261,0,0.958,0,0.958,0,1.6735
0.2794,3.3386,0,5.0089,0,9.0367,0,9.0367,0,0.9878,0,0.9878,0,1.6703
0.2798,3.3422,0,5.0093,0,8.9459,0,8.9459,0,1.018,0,1.018,0,1.6671
0.2802,3.3458,0,5.0097,0,8.8539,0,8.8539,0,1.0487,0,1.0487,0,1.6639
0.2806,3.3493,0,5.0101,0,8.7605,0,8.7605,0,1.0798,0,1.0798,0,1.6608
0.281,3.3528,0,5.0106,0,8.6659,0,8.6659,0,1.1114,0,1.1114,0,1.6578
0.2814,3.3562,0,5.011,0,8.57,0,8.57,0,1.1433,0,1.1433,0,1.6548
0.2818,3.3596,0,5.0115,0,8.4729,0,8.4729,0,1.1757,0,1.1757,0,1.6518
0.2822,3.363,0,5.0119,0,8.3745,0,8.3745,0,1.2085,0,1.2085,0,1.6489
0.2826,3.3663,0,5.0124,0,8.275,0,8.275,0,1.2417,0,1.2417,0,1.6461
0.283,3.3696,0,5.0129,0,8.1742,0,8.1742,0,1.2753,0,1.2753,0,1.6433
0.2834,3.3729,0,5.0135,0,8.0722,0,8.0722,0,1.3093,0,1.3093,0,1.6406
0.2838,3.3761,0,5.014,0,7.9691,0,7.9691,0,1.3436,0,1.3436,0,1.6379
0.2842,3.3792,0,5.0145,0,7.8649,0,7.8649,0,1.3784,0,1.3784,0,1.6353
0.2846,3.3824,0,5.0151,0,7.7595,0,7.7595,0,1.4135,0,1.4135,0,1.6327
0.285,3.3854,0,5.0157,0,7.6531,0,7.6531,0,1.449,0,1.449,0,1.6302
0.2854,3.3885,0,5.0163,0,7.5456,0,7.5456,0,1.4848,0,1.4848,0,1.6278
0.2858,3.3915,0,5.0169,0,7.437,0,7.437,0,1.521,0,1.521,0,1.6254
0.2862,3.3944,0,5.0175,0,7.3274,0,7.3274,0,1.5575,0,1.5575,0,1.623
0.2866,3.3973,0,5.0181,0,7.2167,0,7.2167,0,1.5944,0,1.5944,0,1.6208
0.287,3.4002,0,5.0187,0,7.1051,0,7.1051,0,1.6316,0,1.6316,0,1.6185
0.2874,3.403,0,5.0194,0,6.9925,0,6.9925,0,1.6692,0,1.6692,0,1.6164
0.2878,3.4058,0,5.0201,0,6.879,0,6.879,0,1.707,0,1.707,0,1.6143
0.2882,3.4085,0,5.0208,0,6.7646,0,6.7646,0,1.7451,0,1.7451,0,1.6122
0.2886,3.4112,0,5.0215,0,6.6492,0,6.6492,0,1.7836,0,1.7836,0,1.6103
0.289,3.4138,0,5.0222,0,6.533,0,6.533,0,1.8223,0,1.8223,0,1.6084
0.2894,3.4164,0,5.0229,0,6.416,0,6.416,0,1.8613,0,1.8613,0,1.6065
0.2898,3.419,0,5.0237,0,6.2981,0,6.2981,0,1.9006,0,1.9006,0,1.6047
0.2902,3.4215,0,5.0245,0,6.1795,0,6.1795,0,1.9402,0,1.9402,0,1.603
0.2906,3.4239,0,5.0252,0,6.0601,0,6.0601,0,1.98,0,1.98,0,1.6013
0.291,3.4263,0,5.026,0,5.9399,0,5.9399,0,2.02,0,2.02,0,1.5997
0.2914,3.4287,0,5.0269,0,5.8191,0,5.8191,0,2.0603,0,2.0603,0,1.5982
0.2918,3.431,0,5.0277,0,5.6975,0,5.6975,0,2.1008,0,2.1008,0,1.5967
0.2922,3.4332,0,5.0285,0,5.5754,0,5.5754,0,2.1415,0,2.1415,0,1.5953
0.2926,3.4354,0,5.0294,0,5.4525,0,5.4525,0,2.1825,0,2.1825,0,1.594
0.293,3.4376,0,5.0303,0,5.3291,0,5.3291,0,2.2236,0,2.2236,0,1.5927
0.2934,3.4397,0,5.0312,0,5.2052,0,5.2052,0,2.2649,0,2.2649,0,1.5915
0.2938,3.4417,0,5.0321,0,5.0807,0,5.0807,0,2.3064,0,2.3064,0,1.5904
0.2942,3.4437,0,5.033,0,4.9557,0,4.9557,0,2.3481,0,2.3481,0,1.5893
0.2946,3.4457,0,5.034,0,4.8302,0,4.8302,0,2.3899,0,2.3899,0,1.5883
0.295,3.4476,0,5.0349,0,4.7042,0,4.7042,0,2.4319,0,2.4319,0,1.5873
0.2954,3.4495,0,5.0359,0,4.5779,0,4.5779,0,2.474,0,2.474,0,1.5865
0.2958,3.4513,0,5.0369,0,4.4512,0,4.4512,0,2.5163,0,2.5163,0,1.5857
