t,sx1,sy1,sx2,sy2,vx1,vy1,v1,vAngle1,vx2,vy2,v2,vAngle2,distance,
0,0.012,0,5,0,12,0,12,0,0,0,0,0,4.988,
0.2195,2.6464,0,5,0,12,0,12,0,0,0,0,0,2.3536,
0.2502,3.0148,0,5,-0,11.9991,0,11.9991,0,0.0003,-0,0.0003,6.2832,1.9852,
0.2512,3.0268,0,5,-0,11.9955,0,11.9955,0,0.0015,-0,0.0015,6.2832,1.9732,
0.2522,3.0388,0,5,-0,11.9884,0,11.9884,0,0.0039,-0,0.0039,6.2832,1.9612,
0.2532,3.0508,0,5,-0,11.9771,0,11.9771,0,0.0076,-0,0.0076,6.2832,1.9492,
0.2542,3.0628,0,5,-0,11.961,0,11.961,0,0.013,-0,0.013,6.2832,1.9372,
0.2552,3.0747,0,5,-0,11.9396,0,11.9396,0,0.0201,-0,0.0201,6.2832,1.9253,
0.2562,3.0867,0,5.0001,-0,11.9123,0,11.9123,0,0.0292,-0,0.0292,6.2832,1.9134,
0.2572,3.0986,0,5.0001,-0,11.8789,0,11.8789,0,0.0404,-0,0.0404,6.2832,1.9015,
0.2582,3.1104,0,5.0001,-0,11.8388,0,11.8388,0,0.0537,-0,0.0537,6.2832,1.8897,
0.2592,3.1222,0,5.0002,-0,11.7917,0,11.7917,0,0.0694,-0,0.0694,6.2832,1.878,
0.2602,3.134,0,5.0003,-0,11.7373,0,11.7373,0,0.0876,-0,0.0876,6.2832,1.8663,
0.2612,3.1457,0,5.0004,-0,11.6754,0,11.6754,0,0.1082,-0,0.1082,6.2832,1.8547,
0.2622,3.1573,0,5.0005,-0,11.6055,0,11.6055,0,0.1315,-0,0.1315,6.2832,1.8432,
0.2632,3.1689,0,5.0006,-0,11.5276,0,11.5276,0,0.1575,-0,0.1575,6.2832,1.8317,
0.2642,3.1804,0,5.0008,-0,11.4413,0,11.4413,0,0.1862,-0,0.1862,6.2832,1.8204,
0.2652,3.1918,0,5.001,-0,11.3465,0,11.3465,0,0.2178,-0,0.2178,6.2832,1.8092,
0.2662,3.2031,0,5.0013,-0,11.2431,0,11.2431,0,0.2523,-0,0.2523,6.2832,1.7982,
0.2672,3.2143,0,5.0015,-0,11.1308,0,11.1308,0,0.2897,-0,0.2897,6.2832,1.7873,
0.2682,3.2253,0,5.0018,-0,11.0097,0,11.0097,0,0.3301,-0,0.3301,6.2832,1.7765,
0.2692,3.2363,0,5.0022,-0,10.8795,0,10.8795,0,0.3735,-0,0.3735,6.2832,1.7659,
0.2702,3.2471,0,5.0026,-0,10.7403,0,10.7403,0,0.4199,-0,0.4199,6.2832,1.7555,
0.2712,3.2578,0,5.003,-0,10.5919,0,10.5919,0,0.4694,-0,0.4694,6.2832,1.7453,
0.2722,3.2683,0,5.0035,-0,10.4345,0,10.4345,0,0.5218,-0,0.5218,6.2832,1.7353,
0.2732,3.2786,0,5.0041,-0,10.2679,0,10.2679,0,0.5774,-0,0.5774,6.2832,1.7255,
0.2742,3.2888,0,5.0047,-0,10.0923,0,10.0923,0,0.6359,-0,0.6359,6.2832,1.7159,
0.2752,3.2988,0,5.0053,-0,9.9077,0,9.9077,0,0.6974,-0,0.6974,6.2832,1.7066,
0.2762,3.3086,0,5.0061,-0,9.7142,0,9.7142,0,0.7619,-0,0.7619,6.2832,1.6975,
0.2772,3.3182,0,5.0069,-0,9.5119,0,9.5119,0,0.8294,-0,0.8294,6.2832,1.6887,
0.2782,3.3276,0,5.0077,-0,9.301,0,9.301,0,0.8997,-0,0.8997,6.2832,1.6801,
0.2792,3.3368,0,5.0087,-0,9.0816,0,9.0816,0,0.9728,-0,0.9728,6.2832,1.6719,
0.2802,3.3458,0,5.0097,-0,8.8539,0,8.8539,0,1.0487,-0,1.0487,6.2832,1.6639,
0.2812,3.3545,0,5.0108,-0,8.6181,0,8.6181,0,1.1273,-0,1.1273,6.2832,1.6563,
0.2822,3.363,0,5.0119,-0,8.3745,0,8.3745,0,1.2085,-0,1.2085,6.2832,1.6489,
0.2832,3.3713,0,5.0132,-0,8.1234,0,8.1234,0,1.2922,-0,1.2922,6.2832,1.6419,
