t (s),sx1 (m),sy1 (m),sx2 (m),sy2 (m),vx1 (ms^-1),vy1 (ms^-1),v1 (ms^-1),vAngle1 (deg),vx2 (ms^-1),vy2 (ms^-1),v2 (ms^-1),vAngle2 (deg),distance (m)
0,-3.8269,3.2114,-3.8269,-3.2114,3.064,-2.571,3.9998,320,3.064,2.571,3.9998,40,6.4229
0.6858,-1.7258,1.4484,-1.7258,-1.4484,3.064,-2.571,3.9998,320,3.064,2.571,3.9998,40,2.8967
0.9914,-0.7893,0.6625,-0.7893,-0.6625,3.064,-2.571,3.9998,320,3.064,2.571,3.9998,40,1.3251
1.1276,-0.3719,0.3123,-0.3719,-0.3123,3.064,-2.571,3.9998,320,3.064,2.571,3.9998,40,0.6246
1.1883,-0.1859,0.1562,-0.1859,-0.1562,3.064,-2.571,3.9998,320,3.064,2.571,3.9998,40,0.3124
1.2283,-0.0633,0.0534,-0.0633,-0.0534,3.064,-2.571,3.9998,320,3.064,2.571,3.9998,40,0.1067
1.2377,-0.0348,0.0296,-0.0348,-0.0296,3.064,-1.8407,3.5744,329.004,3.064,1.8407,3.5744,30.9958,0.0592
1.2381,-0.0336,0.0296,-0.0336,-0.0296,3.064,0.9175,3.1984,16.6703,3.064,-0.9175,3.1984,343.33,0.0592
1.2385,-0.0323,0.0304,-0.0323,-0.0304,3.064,2.5057,3.9581,39.2758,3.064,-2.5057,3.9581,320.724,0.0608
1.2666,0.0538,0.107,0.0538,-0.107,3.064,2.546,3.9838,39.725,3.064,-2.546,3.9838,320.275,0.2139
1.31,0.1869,0.2252,0.1869,-0.2252,3.064,2.566,3.9966,39.9454,3.064,-2.566,3.9966,320.055,0.4503
1.3963,0.4512,0.4601,0.4512,-0.4601,3.064,2.5683,3.9981,39.9708,3.064,-2.5683,3.9981,320.029,0.9202
1.5868,1.035,0.9788,1.035,-0.9788,3.064,2.5683,3.9981,39.9708,3.064,-2.5683,3.9981,320.029,1.9577
2.0074,2.3239,2.1242,2.3239,-2.1242,3.064,2.5683,3.9981,39.9708,3.064,-2.5683,3.9981,320.029,4.2484
