t,sx1,sy1,sx2,sy2,vx1,vy1,vx2,vy2,distance,total KE
0,0.012,0,5,0,12,0,0,0,4.988,12,
0.01,0.132,0,5,0,12,0,0,0,4.868,12,
0.02,0.252,0,5,0,12,0,0,0,4.748,12,
0.03,0.372,0,5,0,12,0,0,0,4.628,12,
0.04,0.492,0,5,0,12,0,0,0,4.508,12,
0.05,0.612,0,5,0,12,0,0,0,4.388,12,
0.06,0.732,0,5,0,12,0,0,0,4.268,12,
0.07,0.852,0,5,0,12,0,0,0,4.148,12,
0.08,0.972,0,5,0,12,0,0,0,4.028,12,
0.09,1.092,0,5,0,12,0,0,0,3.908,12,
0.1,1.212,0,5,0,12,0,0,0,3.788,12,
0.11,1.332,0,5,0,12,0,0,0,3.668,12,
0.12,1.452,0,5,0,12,0,0,0,3.548,12,
0.13,1.572,0,5,0,12,0,0,0,3.428,12,
0.14,1.692,0,5,0,12,0,0,0,3.308,12,
0.15,1.812,0,5,0,12,0,0,0,3.188,12,
0.16,1.932,0,5,0,12,0,0,0,3.068,12,
0.17,2.052,0,5,0,12,0,0,0,2.948,12,
0.18,2.172,0,5,0,12,0,0,0,2.828,12,
0.19,2.292,0,5,0,12,0,0,0,2.708,12,
0.2,2.412,0,5,0,12,0,0,0,2.588,12,
0.21,2.532,0,5,0,12,0,0,0,2.468,12,
0.22,2.652,0,5,0,12,0,0,0,2.348,12,
0.23,2.772,0,5,0,12,0,0,0,2.228,12,
0.24,2.892,0,5,0,12,0,0,0,2.108,12,
0.25,3.012,0,5,0,12,0,0,0,1.988,12,
0.26,3,0,5.044,0,-2.771,0,4.924,0,2.045,159.126,
0.27,2.972,0,5.093,0,-2.771,0,4.924,0,2.122,159.126,
0.28,2.944,0,5.143,0,-2.771,0,4.924,0,2.198,159.126,
0.29,2.916,0,5.192,0,-2.771,0,4.924,0,2.275,159.126,
0.3,2.889,0,5.241,0,-2.771,0,4.924,0,2.352,159.126,
0.31,2.861,0,5.29,0,-2.771,0,4.924,0,2.429,159.126,
0.32,2.833,0,5.34,0,-2.771,0,4.924,0,2.506,159.126,
0.33,2.806,0,5.389,0,-2.771,0,4.924,0,2.583,159.126,
0.34,2.778,0,5.438,0,-2.771,0,4.924,0,2.66,159.126,
0.35,2.75,0,5.487,0,-2.771,0,4.924,0,2.737,159.126,
0.36,2.722,0,5.537,0,-2.771,0,4.924,0,2.814,159.126,
0.37,2.695,0,5.586,0,-2.771,0,4.924,0,2.891,159.126,
0.38,2.667,0,5.635,0,-2.771,0,4.924,0,2.968,159.126,
0.39,2.639,0,5.684,0,-2.771,0,4.924,0,3.045,159.126,
0.4,2.612,0,5.733,0,-2.771,0,4.924,0,3.122,159.126,
0.41,2.584,0,5.783,0,-2.771,0,4.924,0,3.199,159.126,
0.42,2.556,0,5.832,0,-2.771,0,4.924,0,3.276,159.126,
0.43,2.529,0,5.881,0,-2.771,0,4.924,0,3.353,159.126,
0.44,2.501,0,5.93,0,-2.771,0,4.924,0,3.43,159.126,
0.45,2.473,0,5.98,0,-2.771,0,4.924,0,3.507,159.126,
0.46,2.445,0,6.029,0,-2.771,0,4.924,0,3.583,159.126,
0.47,2.418,0,6.078,0,-2.771,0,4.924,0,3.66,159.126,
0.48,2.39,0,6.127,0,-2.771,0,4.924,0,3.737,159.126,
0.49,2.362,0,6.177,0,-2.771,0,4.924,0,3.814,159.126,
0.5,2.335,0,6.226,0,-2.771,0,4.924,0,3.891,159.126,
0.51,2.307,0,6.275,0,-2.771,0,4.924,0,3.968,159.126,
0.52,2.279,0,6.324,0,-2.771,0,4.924,0,4.045,159.126,
0.53,2.251,0,6.374,0,-2.771,0,4.924,0,4.122,159.126,
0.54,2.224,0,6.423,0,-2.771,0,4.924,0,4.199,159.126,
0.55,2.196,0,6.472,0,-2.771,0,4.924,0,4.276,159.126,
0.56,2.168,0,6.521,0,-2.771,0,4.924,0,4.353,159.126,
0.57,2.141,0,6.57,0,-2.771,0,4.924,0,4.43,159.126,
0.58,2.113,0,6.62,0,-2.771,0,4.924,0,4.507,159.126,
