t,sx1,sy1,sx2,sy2,vx1,vy1,vx2,vy2,distance,compression, compression_x, compression_y, F1x, F1y, F2x, F2y
0,0.012,0,5,0,12,0,0,0,4.988,0,0,0,-0,-0,-0,-0,
0.1622,1.9581,0,5,0,12,0,0,0,3.0419,0,0,0,-0,-0,-0,-0,
0.2187,2.6367,0,5,0,12,0,0,0,2.3633,0,0,0,-0,-0,-0,-0,
0.2384,2.8733,0,5,0,12,0,0,0,2.1267,0,0,0,-0,-0,-0,-0,
0.2453,2.9558,0,5,0,12,0,0,0,2.0442,0,0,0,-0,-0,-0,-0,
0.2477,2.9846,0,5,0,12,0,0,0,2.0154,0,0,0,-0,-0,-0,-0,
0.2486,2.9946,0,5,0,12,0,0,0,2.0054,0,0,0,-0,-0,-0,-0,
0.2488,2.9981,0,5,0,12,0,0,0,2.0019,0,0,0,-0,-0,-0,-0,
0.2489,2.9993,0,5,0,12,0,0,0,2.0007,0,0,0,-0,-0,-0,-0,
0.249,2.9998,0,5,0,12,0,0,0,2.0002,0,0,0,-0,-0,-0,-0,
0.249,2.9999,0,5,0,12,0,0,0,2.0001,0,0,0,-0,-0,-0,-0,
0.249,3,0,5,0,12,0,0,0,2,0,0,0,-0,-0,-0,-0,
0.249,3,0,5,0,12,0,0,0,2,0,0,0,-0,-0,-0,-0,
0.249,3,0,5,0,12,0,0,0,2,0,0,0,-0,-0,-0,-0,
0.249,3,0,5,0,12,0,0,0,2,0,0,0,-0,-0,-0,-0,
0.249,3,0,5,0,12,0,0,0,2,0,0,0,-0,-0,-0,-0,
0.249,3,0,5,0,12,0,0,0,2,0,0,0,-0,-0,-0,-0,
0.249,3,0,5,0,12,0,0,0,2,0,0,0,-0,-0,-0,-0,
0.249,3,-0,5,0,12,-0,-0,0,2,0,-0,0,0,-0,-0,-0,
0.249,3.0001,0,5,-0,12,0,0,-0,1.9999,-0.0001,0.0001,-0,-0.051,0,0.051,-0,
0.249,3.0003,0,5,-0,12,0,0,-0,1.9997,-0.0001,0.0001,-0,-0.1022,0,0.1022,-0,
0.249,3.0004,0,5,-0,12,0,0,-0,1.9996,-0.0002,0.0002,-0,-0.1534,0,0.1534,-0,
0.249,3.0005,0,5,-0,12,0,0,-0,1.9995,-0.0002,0.0002,-0,-0.2046,0,0.2046,-0,
0.2491,3.0006,0,5,-0,12,0,0,-0,1.9994,-0.0003,0.0003,-0,-0.256,0,0.256,-0,
0.2491,3.0007,0,5,-0,12,0,0,-0,1.9993,-0.0004,0.0004,-0,-0.3074,0,0.3074,-0,
0.2491,3.0009,0,5,-0,12,0,0,-0,1.9991,-0.0004,0.0004,-0,-0.3589,0,0.3589,-0,
0.2491,3.001,0,5,-0,12,0,0,-0,1.999,-0.0005,0.0005,-0,-0.4105,0,0.4105,-0,
0.2491,3.0011,0,5,-0,12,0,0,-0,1.9989,-0.0005,0.0005,-0,-0.4622,0,0.4622,-0,
