t (s),sx1 (m),sy1 (m),sx2 (m),sy2 (m),vx1 (ms^-1),vy1 (ms^-1),v1 (ms^-1),vAngle1 (deg),vx2 (ms^-1),vy2 (ms^-1),v2 (ms^-1),vAngle2 (deg),distance (m),
0,0.0022,0,3,0.0518,2.2,0,2.2,0,0,0,0,0,2.9982,
0.74,1.6302,0,3,0.0518,2.2,0,2.2,0,0,0,0,0,1.3707,
1.07,2.3563,0,3,0.0518,2.2,0,2.2,0,0,0,0,0,0.6458,
1.2176,2.6808,0,3,0.0518,2.2,0,2.2,0,0,0,0,0,0.3234,
1.284,2.827,0,3,0.0518,2.2,0,2.2,0,0,0,0,0,0.1806,
1.3242,2.9155,0,3,0.0518,2.2,0,2.2,0,0,0,0,0,0.0991,
1.3484,2.9686,-0,3,0.0518,2.1999,-0.0003,2.1999,359.992,0.0001,0.0003,0.0003,64.5793,0.0606,
1.3488,2.9695,-0,3,0.0518,2.1992,-0.0016,2.1992,359.957,0.0008,0.0016,0.0018,65.1379,0.0601,
1.3492,2.9704,-0,3,0.0518,2.1982,-0.0039,2.1982,359.898,0.0018,0.0039,0.0043,65.7427,0.0597,
1.3496,2.9713,-0,3,0.0518,2.1968,-0.0073,2.1968,359.811,0.0032,0.0073,0.0079,66.3679,0.0592,
1.35,2.9721,-0,3,0.0518,2.195,-0.0118,2.195,359.692,0.005,0.0118,0.0128,67.0027,0.0588,
1.3504,2.973,-0,3,0.0518,2.1928,-0.0176,2.1928,359.54,0.0072,0.0176,0.019,67.6413,0.0584,
1.3508,2.9739,-0,3,0.0518,2.1901,-0.0248,2.1903,359.352,0.0099,0.0248,0.0267,68.2806,0.058,
1.3512,2.9748,-0,3,0.0518,2.1871,-0.0333,2.1874,359.127,0.0129,0.0333,0.0357,68.9182,0.0577,
1.3516,2.9756,-0,3,0.0518,2.1838,-0.0433,2.1843,358.863,0.0162,0.0433,0.0462,69.5525,0.0573,
1.352,2.9765,-0.0001,3,0.0519,2.1803,-0.0548,2.181,358.561,0.0197,0.0548,0.0582,70.1821,0.057,
1.3524,2.9774,-0.0001,3,0.0519,2.1765,-0.0676,2.1775,358.221,0.0235,0.0676,0.0716,70.8056,0.0567,
1.3528,2.9783,-0.0001,3,0.0519,2.1725,-0.0819,2.174,357.842,0.0275,0.0819,0.0864,71.4219,0.0564,
1.3532,2.9791,-0.0002,3.0001,0.052,2.1684,-0.0975,2.1706,357.426,0.0316,0.0975,0.1025,72.0297,0.0562,
1.3536,2.98,-0.0002,3.0001,0.052,2.1642,-0.1144,2.1672,356.974,0.0358,0.1144,0.1199,72.6281,0.0559,
1.354,2.9809,-0.0003,3.0001,0.0521,2.16,-0.1325,2.1641,356.49,0.04,0.1325,0.1384,73.2157,0.0557,
1.3544,2.9817,-0.0003,3.0001,0.0521,2.1559,-0.1517,2.1612,355.974,0.0441,0.1517,0.158,73.7916,0.0555,
1.3548,2.9826,-0.0004,3.0001,0.0522,2.1519,-0.1719,2.1587,355.432,0.0481,0.1719,0.1785,74.3545,0.0554,
1.3552,2.9834,-0.0004,3.0001,0.0522,2.1479,-0.193,2.1566,354.866,0.0521,0.193,0.1999,74.9034,0.0553,
1.3556,2.9843,-0.0005,3.0002,0.0523,2.1442,-0.2148,2.1549,354.28,0.0558,0.2148,0.2219,75.4371,0.0552,
1.356,2.9852,-0.0006,3.0002,0.0524,2.1407,-0.2371,2.1538,353.68,0.0593,0.2371,0.2444,75.9545,0.0551,
1.3564,2.986,-0.0007,3.0002,0.0525,2.1374,-0.2598,2.1531,353.07,0.0626,0.2598,0.2672,76.4546,0.0551,
1.3568,2.9869,-0.0008,3.0002,0.0526,2.1344,-0.2827,2.153,352.454,0.0656,0.2827,0.2902,76.9363,0.0551,
1.3572,2.9877,-0.0009,3.0003,0.0527,2.1317,-0.3057,2.1535,351.839,0.0683,0.3057,0.3132,77.3985,0.0551,
1.3576,2.9886,-0.0011,3.0003,0.0529,2.1292,-0.3285,2.1544,351.23,0.0708,0.3285,0.336,77.8404,0.0552,
1.358,2.9894,-0.0012,3.0003,0.053,2.1271,-0.351,2.1558,350.631,0.0729,0.351,0.3585,78.2608,0.0553,
1.3584,2.9903,-0.0014,3.0003,0.0532,2.1252,-0.3729,2.1577,350.047,0.0748,0.3729,0.3803,78.659,0.0554,
1.3588,2.9911,-0.0015,3.0004,0.0533,2.1236,-0.3942,2.1599,349.485,0.0764,0.3942,0.4015,79.0341,0.0556,
1.3592,2.992,-0.0017,3.0004,0.0535,2.1223,-0.4146,2.1624,348.947,0.0777,0.4146,0.4218,79.3854,0.0558,
